Last completed page in output: 5
Loading EasyOCR reader (English)...
Reader ready.

PDF: 142 pages. Starting from page 6.

Page 6/142... 234 words
Page 7/142... 161 words
Page 8/142... 138 words
Page 9/142... 171 words
Page 10/142... 161 words
Page 11/142... 163 words
Page 12/142... 168 words
Page 13/142... 162 words
Page 14/142... 164 words
Page 15/142... 176 words
Page 16/142... 160 words
Page 17/142... 200 words
Page 18/142... 210 words
Page 19/142... 180 words
Page 20/142... 168 words
Page 21/142... 184 words
Page 22/142... 209 words
Page 23/142... 192 words
Page 24/142... 177 words
Page 25/142... 150 words
Page 26/142... 152 words
Page 27/142... 114 words
Page 28/142... 98 words
Page 29/142... 147 words
Page 30/142... 121 words
Page 31/142... 205 words
Page 32/142... 216 words
Page 33/142... 217 words
Page 34/142... 202 words
Page 35/142... 197 words
Page 36/142... 166 words
Page 37/142... 183 words
Page 38/142... 153 words
Page 39/142... 190 words
Page 40/142... 188 words
Page 41/142... 179 words
Page 42/142... 171 words
Page 43/142... 141 words
Page 44/142... 138 words
Page 45/142... 205 words
Page 46/142... 202 words
Page 47/142... 185 words
Page 48/142... 173 words
Page 49/142... 123 words
Page 50/142... 142 words
Page 51/142... 171 words
Page 52/142... 182 words
Page 53/142... 79 words
Page 54/142... 94 words
Page 55/142... 187 words
Page 56/142... 168 words
Page 57/142... 126 words
Page 58/142... 139 words
Page 59/142... 185 words
Page 60/142... 205 words
Page 61/142... 216 words
Page 62/142... 186 words
Page 63/142... 184 words
Page 64/142... 188 words
Page 65/142... 172 words
Page 66/142... 180 words
Page 67/142... 218 words
Page 68/142... 197 words
Page 69/142... 164 words
Page 70/142... 170 words
Page 71/142... 142 words
Page 72/142... 156 words
Page 73/142... 199 words
Page 74/142... 181 words
Page 75/142... 188 words
Page 76/142... 188 words
Page 77/142... 149 words
Page 78/142... 147 words
Page 79/142... 94 words
Page 80/142... 81 words
Page 81/142... 117 words
Page 82/142... 116 words
Page 83/142... 216 words
Page 84/142... 164 words
Page 85/142... 187 words
Page 86/142... 199 words
Page 87/142... 189 words
Page 88/142... 190 words
Page 89/142... 167 words
Page 90/142... 191 words
Page 91/142... 181 words
Page 92/142... 212 words
Page 93/142... 143 words
Page 94/142... 150 words
Page 95/142... 179 words
Page 96/142... 199 words
Page 97/142... 165 words
Page 98/142... 165 words
Page 99/142... 179 words
Page 100/142... 189 words
Page 101/142... 165 words
Page 102/142... 157 words
Page 103/142... 163 words
Page 104/142... 177 words
Page 105/142... 238 words
Page 106/142... 229 words
Page 107/142... 182 words
Page 108/142... 184 words
Page 109/142... 188 words
Page 110/142... 188 words
Page 111/142... 180 words
Page 112/142... 156 words
Page 113/142... 174 words
Page 114/142... 186 words
Page 115/142... 189 words
Page 116/142... 184 words
Page 117/142... 214 words
Page 118/142... 205 words
Page 119/142... 168 words
Page 120/142... 203 words
Page 121/142... 207 words
Page 122/142... 215 words
Page 123/142... 197 words
Page 124/142... 207 words
Page 125/142... 208 words
Page 126/142... 192 words
Page 127/142... 133 words
Page 128/142... 183 words
Page 129/142... 178 words
Page 130/142... 166 words
Page 131/142... 48 words
Page 132/142... 76 words
Page 133/142... 197 words
Page 134/142... 162 words
Page 135/142... 130 words
Page 136/142... 152 words
Page 137/142... 149 words
Page 138/142... 158 words
Page 139/142... 196 words
Page 140/142... 223 words
Page 141/142... 194 words
Page 142/142... 170 words

Done! Saved to: data/rifat_pdf_ocr_text.txt
